benchmark_id,condition,question,b0_direct_answer,b0_correctness_0_2,b0_grounding_0_2,b0_uncertainty_0_2,a1_predicted_attributes_json,a1_attribute_first_answer,a1_correctness_0_2,a1_grounding_0_2,a1_uncertainty_0_2,a2_oracle_attributes_json,a2_oracle_answer,a2_correctness_0_2,a2_grounding_0_2,a2_uncertainty_0_2,evaluator_notes
case_03_c1_removed,REMOVED,Can the executable on WS-04 be established as the same artifact found on Server-02?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""INSUFFICIENT"", ""question_type"": ""CORRELATION"", ""relevant_evidence_ids"": [""S1"", ""S2"", ""S3""], ""epistemic_state"": ""UNESTABLISHED"", ""missing_information"": [""cryptographic hash or binary comparison for temp_tool.exe""]}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_03_c2_contradiction,CONTRADICTION,Can the executable on WS-04 be established as the same artifact found on Server-02?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""CORRELATION"", ""relevant_evidence_ids"": [""S1"", ""S3""], ""epistemic_state"": ""CONTRADICTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_03_c3_distractor,DISTRACTOR,Can the executable on WS-04 be established as the same artifact found on Server-02?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""CORRELATION"", ""relevant_evidence_ids"": [""S1"", ""S4""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_03_c4_reorder,REORDER,Can the executable on WS-04 be established as the same artifact found on Server-02?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""CORRELATION"", ""relevant_evidence_ids"": [""S1"", ""S2""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_04_c0_original,ORIGINAL,How was continued access obtained according to the supplied context?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""MEANS"", ""relevant_evidence_ids"": [""S1"", ""S2"", ""S3""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_04_c1_removed,REMOVED,How was continued access obtained according to the supplied context?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""INSUFFICIENT"", ""question_type"": ""MEANS"", ""relevant_evidence_ids"": [""S1"", ""S2"", ""S3""], ""epistemic_state"": ""UNESTABLISHED"", ""missing_information"": [""evidence of persistence mechanism or artifact enabling continued access""]}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_04_c2_contradiction,CONTRADICTION,How was continued access obtained according to the supplied context?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""MEANS"", ""relevant_evidence_ids"": [""S2"", ""S3""], ""epistemic_state"": ""CONTRADICTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_04_c3_distractor,DISTRACTOR,How was continued access obtained according to the supplied context?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""MEANS"", ""relevant_evidence_ids"": [""S1"", ""S3"", ""S4""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_04_c4_reorder,REORDER,How was continued access obtained according to the supplied context?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""MEANS"", ""relevant_evidence_ids"": [""S1"", ""S2"", ""S3""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_05_c0_original,ORIGINAL,What subsequent activity is established after initial access to DB-01?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""PROGRESSION"", ""relevant_evidence_ids"": [""S1"", ""S2"", ""S3""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_05_c1_removed,REMOVED,What subsequent activity is established after initial access to DB-01?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""INSUFFICIENT"", ""question_type"": ""PROGRESSION"", ""relevant_evidence_ids"": [""S1"", ""S2"", ""S3""], ""epistemic_state"": ""UNESTABLISHED"", ""missing_information"": [""evidence of lateral movement, network scans, or command executions after login""]}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_05_c2_contradiction,CONTRADICTION,What subsequent activity is established after initial access to DB-01?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""PROGRESSION"", ""relevant_evidence_ids"": [""S1"", ""S3""], ""epistemic_state"": ""CONTRADICTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_05_c3_distractor,DISTRACTOR,What subsequent activity is established after initial access to DB-01?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""PROGRESSION"", ""relevant_evidence_ids"": [""S1"", ""S3"", ""S4""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_05_c4_reorder,REORDER,What subsequent activity is established after initial access to DB-01?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""PROGRESSION"", ""relevant_evidence_ids"": [""S1"", ""S2"", ""S3""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_06_c0_original,ORIGINAL,What operational objective is directly supported by the observed behavior?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""OBJECTIVE"", ""relevant_evidence_ids"": [""S1"", ""S2"", ""S3""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_06_c1_removed,REMOVED,What operational objective is directly supported by the observed behavior?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""INSUFFICIENT"", ""question_type"": ""OBJECTIVE"", ""relevant_evidence_ids"": [""S1"", ""S2""], ""epistemic_state"": ""UNESTABLISHED"", ""missing_information"": [""specific commands, tools, or behavioral evidence establishing an operational objective""]}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_06_c2_contradiction,CONTRADICTION,What operational objective is directly supported by the observed behavior?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""CONFLICTING"", ""question_type"": ""OBJECTIVE"", ""relevant_evidence_ids"": [""S1"", ""S2""], ""epistemic_state"": ""UNESTABLISHED"", ""missing_information"": [""resolution between malicious adversary discovery vs authorized SOC audit simulation""]}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_06_c3_distractor,DISTRACTOR,What operational objective is directly supported by the observed behavior?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""OBJECTIVE"", ""relevant_evidence_ids"": [""S1"", ""S3"", ""S4""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_06_c4_reorder,REORDER,What operational objective is directly supported by the observed behavior?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""OBJECTIVE"", ""relevant_evidence_ids"": [""S1"", ""S2"", ""S3""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_07_c0_original,ORIGINAL,Was a scheduled task persistence mechanism established on host ENG-12?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""MEANS"", ""relevant_evidence_ids"": [""S1"", ""S2"", ""S3""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_07_c1_removed,REMOVED,Was a scheduled task persistence mechanism established on host ENG-12?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""MEANS"", ""relevant_evidence_ids"": [""S1"", ""S2"", ""S3""], ""epistemic_state"": ""CONTRADICTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_07_c2_contradiction,CONTRADICTION,Was a scheduled task persistence mechanism established on host ENG-12?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""CONFLICTING"", ""question_type"": ""MEANS"", ""relevant_evidence_ids"": [""S1"", ""S2""], ""epistemic_state"": ""UNESTABLISHED"", ""missing_information"": [""resolution between command execution log and forensic absence of scheduled task registry""]}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
case_07_c3_distractor,DISTRACTOR,Was a scheduled task persistence mechanism established on host ENG-12?,"[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""IMPACT"", ""relevant_evidence_ids"": [""S1""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,"{""answerability"": ""SUFFICIENT"", ""question_type"": ""MEANS"", ""relevant_evidence_ids"": [""S1"", ""S3"", ""S4""], ""epistemic_state"": ""SUPPORTED"", ""missing_information"": []}","[DRY RUN] Based on the context, the analytical question is supported by evidence S1.",,,,
